Id,Label
1,AT5G60570
13,AT5G55670
2,AT4G16360
4,AT4G25550
10,AT5G12410
5,AT1G31780
178,AT1G25260
6,AT5G63220
20,AT5G19350
7,AT5G09390
57,AT4G36860
8,AT4G15840
169,AT5G54750
11,AT5G28060
60,AT5G19300
151,AT2G47610
12,AT5G54910
59,AT5G65900
67,AT4G16830
71,AT5G61330
14,AT5G61970
40,AT1G67680
92,AT1G07940
16,AT5G61530
9,AT5G09310
29,AT3G56900
30,AT5G15680
17,AT1G73430
18,AT5G59410
74,AT5G16930
19,AT1G16570
21,AT5G24670
56,AT3G56760
162,AT5G20060
22,AT5G62600
23,AT5G58030
24,AT5G24840
25,AT5G53480
109,AT5G27850
140,AT4G16720
148,AT4G17390
26,AT4G17260
3,AT4G14300
27,AT1G57600
52,AT1G16560
28,AT5G08420
49,AT1G31660
96,AT4G14350
31,AT5G57610
33,AT5G25060
32,AT5G16040
34,AT5G27990
79,AT4G16970
35,AT5G15550
47,AT1G26160
68,AT5G59210
115,AT1G48900
36,AT5G66540
54,AT5G59240
64,AT2G47420
98,AT5G20290
37,AT5G60980
100,AT5G53360
38,AT5G67220
39,AT5G63680
42,AT5G58640
43,AT5G58640
41,AT4G16660
44,AT5G61140
45,AT5G27970
75,AT1G57620
46,AT4G14000
48,AT5G53940
85,AT5G15750
50,AT5G26110
53,AT4G14160
51,AT5G66100
175,AT5G52650
15,AT5G62130
172,AT5G58420
55,AT5G66590
58,AT5G59950
61,AT5G20600
147,AT4G15770
188,AT4G15000
62,AT5G60870
84,AT5G17000
63,AT4G17620
77,AT5G66360
65,AT5G59490
66,AT5G58800
69,AT5G15730
70,AT5G28740
72,AT5G26830
194,AT5G27470
73,AT5G52580
76,AT4G36580
80,AT5G55400
81,AT5G53770
103,AT4G15930
83,AT5G64270
78,AT3G44850
155,AT5G19510
105,AT4G14240
86,AT5G66730
88,AT5G16990
90,AT5G52200
91,AT5G67630
87,AT5G50900
183,AT5G26710
93,AT1G32090
94,AT5G67490
95,AT5G54940
99,AT5G15610
198,AT1G48860
97,AT4G14230
101,AT5G59140
82,AT4G15475
89,AT5G26220
102,AT5G64830
104,AT5G53360
106,AT5G57480
107,AT5G25800
187,AT5G16130
111,AT5G54760
123,AT5G55180
133,AT5G60340
131,AT4G36640
143,AT5G13520
145,AT5G55070
171,AT5G08415
149,AT5G25100
127,AT5G35160
158,AT5G57330
159,AT5G56670
165,AT5G52820
170,AT5G20950
177,AT5G58020
121,AT5G20090
179,AT4G14320
181,AT5G59850
184,AT5G56350
154,AT5G53970
191,AT5G56710
193,AT5G27395
152,AT5G27550
195,AT4G17610
138,AT5G19830
142,AT5G26680
119,AT5G59960
156,AT5G14850
153,AT5G65180
190,AT5G55560
173,AT5G14720
135,AT5G26640
197,AT5G25550
166,AT5G19310
185,AT5G09500
167,AT5G65750
120,AT5G51220
180,AT5G60670
116,AT5G09510
141,AT1G67820
146,AT5G20560
137,AT5G25400
182,AT5G57320
126,AT5G28220
117,AT4G14695
160,AT5G26130
168,AT1G26270
113,AT5G54200
118,AT1G31830
144,AT5G16140
157,AT5G25490
186,AT5G61220
