catpath,sex,count()
traditional/animations/colored,f,32
traditional/animations/penciltest,f,32
traditional/assemblage,f,6
traditional/bodyart/bodymods/adornment,f,16
traditional/bodyart/bodymods/ritual,f,1
traditional/bodyart/bodymods/scarbrand,f,3
traditional/bodyart/bodymods/tattoos,f,359
traditional/bodyart/cosmetic/bodypaint,f,139
traditional/bodyart/cosmetic/hair/color,f,1
traditional/bodyart/cosmetic/hennatemp,f,8
traditional/bodyart/cosmetic/makeup,f,232
traditional/bodyart/cosmetic/makeup/beauty,f,52
traditional/bodyart/cosmetic/makeup/character,f,32
traditional/bodyart/cosmetic/nailart,f,16
traditional/bodyart/cosmetic/testing,f,1
traditional/bodyart/misc,f,4
traditional/collage,f,650
traditional/drawings/abstract,f,328
traditional/drawings/animals,f,2331
traditional/drawings/fanart,f,1352
traditional/drawings/fanart/cartoons,f,112
traditional/drawings/fanart/fancomics,f,34
traditional/drawings/fanart/games,f,159
traditional/drawings/fanart/misc,f,62
traditional/drawings/fanart/movies,f,93
traditional/drawings/fanart/novels,f,109
traditional/drawings/fantasy,f,3859
traditional/drawings/illustration/conceptual,f,371
traditional/drawings/illustration/storybook,f,192
traditional/drawings/landscapes,f,362
traditional/drawings/macabre,f,700
traditional/drawings/misc,f,2078
traditional/drawings/people,f,2821
traditional/drawings/political,f,28
traditional/drawings/pop,f,108
traditional/drawings/portraits,f,3215
traditional/drawings/psychedelic,f,186
traditional/drawings/scifi,f,216
traditional/drawings/spaceart,f,4
traditional/drawings/still,f,419
traditional/drawings/surreal,f,836
traditional/drawings/technical,f,129
traditional/drawings/unsorted,f,350
traditional/misc,f,818
traditional/mixedmedia,f,2677
traditional/mixedmedia/abstract,f,110
traditional/mixedmedia/animals,f,144
traditional/mixedmedia/conceptual,f,160
traditional/mixedmedia/emotional,f,95
traditional/mixedmedia/fantasy,f,166
traditional/mixedmedia/landscapes,f,27
traditional/mixedmedia/miscellaneous,f,183
traditional/mixedmedia/people,f,182
traditional/mixedmedia/scifi,f,12
traditional/paintings/abstract,f,995
traditional/paintings/animals,f,1399
traditional/paintings/fanart,f,181
traditional/paintings/fanart/books,f,28
traditional/paintings/fanart/games,f,32
traditional/paintings/fanart/misc,f,13
traditional/paintings/fanart/movies,f,15
traditional/paintings/fantasy,f,1818
traditional/paintings/illustration/conceptual,f,255
traditional/paintings/illustration/storybook,f,225
traditional/paintings/landscapes,f,882
traditional/paintings/macabre,f,320
traditional/paintings/misc,f,1190
traditional/paintings/people,f,1317
traditional/paintings/political,f,41
traditional/paintings/pop,f,156
traditional/paintings/portraits,f,1090
traditional/paintings/psychedelic,f,101
traditional/paintings/scifi,f,70
traditional/paintings/spaceart,f,8
traditional/paintings/still,f,492
traditional/paintings/surreal,f,838
traditional/printing,f,117
traditional/printing/drypoint,f,24
traditional/printing/monotype,f,57
traditional/printing/printing/collagraph,f,12
traditional/printing/printing/etching,f,125
traditional/printing/printing/lino,f,58
traditional/printing/printing/lithograph,f,44
traditional/printing/printing/silkscreen,f,42
traditional/printing/printing/woodblock,f,29
traditional/scratchboard,f,1
traditional/sculpture/abstract,f,118
traditional/sculpture/busts,f,41
traditional/sculpture/fantasy,f,934
traditional/sculpture/figurative,f,330
traditional/sculpture/minimal,f,32
traditional/sculpture/misc,f,261
traditional/sculpture/models,f,116
traditional/sculpture/surreal,f,98
traditional/streetart,f,60
traditional/streetart/freegraffiti/paintings,f,7
traditional/streetart/freegraffiti/streets,f,24
traditional/streetart/installations,f,9
traditional/streetart/misc,f,46
traditional/streetart/stencils,f,30
traditional/streetart/stickers,f,14
traditional/streetart/wheatpasting,f,5
traditional/typography/typography/calligraphy,f,40
traditional/typography/typography/stencil,f,3
